Time,Voltage
0,12.41
0.04,12.45
0.07,12.45
0.1,12.43
0.14,12.35
0.17,12.33
0.2,12.45
0.24,12.41
0.27,12.39
0.3,12.35
0.34,12.41
0.37,12.43
0.4,12.39
0.44,12.33
0.47,12.39
0.5,12.27
0.54,12.29
0.57,12.33
0.61,12.35
0.64,12.33
0.67,12.31
0.71,12.25
0.74,12.31
0.77,12.35
0.81,12.27
0.84,12.29
0.87,12.31
0.91,12.29
0.94,12.33
0.97,12.35
1.01,12.33
1.04,12.33
1.08,12.33
1.11,12.27
1.14,12.33
1.18,12.33
1.21,12.31
1.24,12.19
1.28,12.25
1.31,12.23
1.34,12.29
1.38,12.21
1.41,12.27
1.44,12.29
1.48,12.27
1.51,12.29
1.55,12.19
1.58,12.25
1.61,12.25
1.65,12.27
1.68,12.27
1.71,12.21
1.75,12.21
1.78,12.11
1.81,12.25
1.85,12.11
1.88,12.11
1.91,12.19
1.95,12.25
1.98,12.19
2.01,12.29
2.05,12.23
2.08,12.23
2.12,12.21
2.15,12.21
2.18,12.19
2.22,12.23
2.25,12.17
2.28,12.09
2.32,12.19
2.35,12.23
2.38,12.15
2.42,12.17
2.45,12.09
2.48,12.05
2.52,12.19
2.55,12.19
2.58,12.17
2.62,12.17
2.65,12.05
2.69,12.15
2.72,12.15
2.75,12.07
2.79,12.15
2.82,12.17
2.85,12.09
2.89,12.15
2.92,12.15
2.95,12.17
2.99,12.15
3.02,12.15
3.05,12.09
3.09,12.11
3.12,12.01
3.15,12.09
3.19,12.15
3.22,12.09
3.25,12.15
3.29,12.07
3.32,12.17
3.36,12.09
3.39,12.05
3.42,12.07
3.46,11.99
3.49,12.11
3.52,12.05
3.56,12.07
3.59,12.01
3.63,12.09
3.66,11.97
3.69,12.07
3.73,12.07
3.76,12.03
3.79,11.99
3.83,11.95
3.86,12.01
3.89,12.09
3.93,12.07
3.96,11.97
3.99,12.03
4.03,11.99
4.06,11.93
4.09,11.95
4.13,12.01
4.16,12.03
4.19,12.01
4.23,12.01
4.26,12.03
4.3,11.95
4.33,11.93
4.36,11.93
4.4,11.99
4.43,11.86
4.46,11.97
4.5,11.84
4.53,11.95
4.56,11.97
4.6,11.95
4.63,11.97
4.66,11.97
4.7,11.93
4.73,11.91
4.77,11.86
4.8,11.93
4.83,11.91
4.87,11.78
4.9,11.91
4.93,11.91
4.97,11.91
5,11.76
5.03,11.91
5.07,11.91
5.1,11.91
5.13,11.91
5.17,11.84
5.2,11.84
5.23,11.84
5.27,11.86
5.3,11.86
5.34,11.8
5.37,11.86
5.4,11.78
5.44,11.78
5.47,11.72
5.5,11.82
5.54,11.84
5.57,11.66
5.6,11.8
5.64,11.7
5.67,11.78
5.7,11.74
5.74,11.76
5.77,11.76
5.81,11.66
5.84,11.74
5.87,11.78
5.91,11.76
5.94,11.68
5.97,11.7
6.01,11.6
6.04,11.74
6.07,11.72
6.11,11.72
6.14,11.56
6.17,11.68
6.21,11.74
6.24,11.68
6.27,11.66
6.31,11.58
6.34,11.7
6.38,11.68
6.41,11.58
6.44,11.68
6.48,11.66
6.51,11.6
6.54,11.6
6.58,11.68
6.61,11.58
6.64,11.62
6.68,11.62
6.71,11.6
6.74,11.58
6.78,11.62
6.81,11.58
6.84,11.58
6.88,11.52
6.91,11.52
6.95,11.52
6.98,11.58
7.01,11.48
7.05,11.52
7.08,11.54
7.11,11.5
7.15,11.52
7.18,11.52
7.21,11.52
7.25,11.46
7.28,11.52
7.31,11.48
7.35,11.44
7.38,11.48
7.42,11.44
7.45,11.44
7.48,11.44
7.52,11.42
7.55,11.34
7.58,11.42
7.62,11.38
7.65,11.36
7.68,11.36
7.72,11.32
7.75,11.24
7.78,11.2
7.82,11.3
7.85,11.34
7.89,11.32
7.92,11.3
7.95,11.32
7.99,11.22
8.02,11.22
8.05,11.24
8.09,11.18
8.12,11.14
8.15,11.24
8.19,11.12
8.22,11.2
8.25,11.22
8.29,11.18
8.32,11.18
8.35,11.06
8.39,11.18
8.42,11.08
8.45,11.03
8.49,11.08
8.52,11.03
8.56,11.01
8.59,11.01
8.62,10.97
8.66,10.93
8.69,10.85
8.72,10.93
8.76,10.85
8.79,10.79
8.82,10.79
8.86,10.61
8.89,10.71
8.92,10.47
8.96,10.53
