Time,Voltage
0.03,12.35
0.07,12.31
0.1,12.33
0.14,12.31
0.17,12.29
0.2,12.33
0.24,12.33
0.27,12.23
0.3,12.31
0.34,12.31
0.37,12.29
0.4,12.21
0.44,12.17
0.47,12.21
0.5,12.27
0.54,12.15
0.57,12.27
0.6,12.09
0.64,12.25
0.67,12.17
0.7,12.25
0.74,12.23
0.77,12.25
0.81,12.15
0.84,12.15
0.87,12.21
0.91,12.21
0.94,12.19
0.97,12.09
1.01,12.17
1.04,12.09
1.07,12.15
1.11,12.05
1.14,12.17
1.17,12.07
1.21,12.05
1.24,12.15
1.27,12.17
1.31,12.09
1.34,12.11
1.37,12.15
1.41,12.09
1.44,12.11
1.47,12.09
1.51,12.11
1.54,11.99
1.58,12.07
1.61,11.99
1.64,12.05
1.68,12.05
1.71,11.95
1.74,12.05
1.78,12.05
1.81,11.91
1.84,12.05
1.88,11.93
1.91,11.95
1.94,11.93
1.98,12.03
2.01,12.05
2.04,11.99
2.08,11.97
2.11,11.99
2.14,12.01
2.18,12.01
2.21,11.86
2.24,11.91
2.28,11.91
2.31,11.93
2.35,11.99
2.38,11.93
2.41,11.95
2.45,11.93
2.48,11.93
2.51,11.78
2.55,11.78
2.58,11.78
2.61,11.93
2.65,11.91
2.68,11.93
2.71,11.86
2.75,11.93
2.78,11.86
2.81,11.91
2.85,11.76
2.88,11.76
2.91,11.74
2.95,11.86
2.98,11.84
3.02,11.76
3.05,11.74
3.08,11.74
3.12,11.82
3.15,11.84
3.18,11.82
3.22,11.78
3.25,11.68
3.28,11.72
3.32,11.78
3.35,11.78
3.38,11.78
3.42,11.66
3.45,11.66
3.48,11.76
3.52,11.74
3.55,11.62
3.58,11.74
3.62,11.68
3.65,11.72
3.68,11.74
3.72,11.7
3.75,11.58
3.79,11.74
3.82,11.72
3.85,11.66
3.89,11.58
3.92,11.68
3.95,11.68
3.99,11.56
4.02,11.66
4.05,11.56
4.09,11.66
4.12,11.52
4.15,11.62
4.19,11.54
4.22,11.5
4.25,11.52
4.29,11.6
4.32,11.58
4.35,11.54
4.39,11.56
4.42,11.5
4.45,11.5
4.49,11.56
4.52,11.54
4.56,11.38
4.59,11.54
4.62,11.52
4.66,11.48
4.69,11.36
4.72,11.36
4.76,11.38
4.79,11.34
4.82,11.3
4.86,11.32
4.89,11.28
4.92,11.3
4.96,11.3
4.99,11.28
5.02,11.26
5.06,11.26
5.09,11.24
5.12,11.2
5.16,11.22
5.19,11.22
5.23,11.18
5.26,11.14
5.29,11.12
5.33,11.06
5.36,11.03
5.39,11.06
5.43,10.97
5.46,10.97
5.49,10.87
5.53,10.83
5.56,10.81
5.59,10.71
5.63,10.59
