Time,Voltage
0,12.49
0.04,12.67
0.07,12.65
0.1,12.53
0.14,12.55
0.17,12.55
0.2,12.53
0.24,12.53
0.27,12.55
0.3,12.55
0.34,12.53
0.37,12.53
0.41,12.53
0.44,12.53
0.47,12.51
0.51,12.59
0.54,12.53
0.57,12.53
0.61,12.53
0.64,12.53
0.68,12.55
0.71,12.55
0.74,12.51
0.78,12.53
0.81,12.51
0.84,12.53
0.88,12.51
0.91,12.49
0.94,12.53
0.98,12.55
1.01,12.55
1.04,12.51
1.08,12.51
1.11,12.51
1.14,12.55
1.18,12.53
1.21,12.63
1.25,12.53
1.28,12.53
1.35,12.53
1.38,12.51
1.42,12.45
1.45,12.51
1.48,12.49
1.52,12.49
1.55,12.51
1.58,12.47
1.62,12.47
1.65,12.49
1.68,12.49
1.72,12.49
1.75,12.47
1.79,12.47
1.82,12.43
1.85,12.47
1.89,12.49
1.92,12.55
1.95,12.45
1.99,12.45
2.02,12.53
2.06,12.47
2.09,12.45
2.12,12.41
2.16,12.41
2.19,12.43
2.22,12.41
2.26,12.41
2.29,12.41
2.33,12.43
2.36,12.39
2.39,12.45
2.43,12.39
2.46,12.41
2.49,12.43
2.53,12.43
2.56,12.49
2.59,12.51
2.63,12.39
2.66,12.39
2.69,12.43
2.73,12.39
2.76,12.41
2.79,12.43
2.83,12.39
2.86,12.43
2.9,12.47
2.93,12.43
2.96,12.47
3,12.35
3.03,12.39
3.06,12.39
3.1,12.33
3.13,12.35
3.17,12.43
3.2,12.47
3.23,12.45
3.27,12.45
3.3,12.31
3.33,12.31
3.37,12.31
3.4,12.33
3.43,12.35
3.47,12.41
3.5,12.43
3.54,12.45
3.57,12.35
3.6,12.45
3.64,12.33
3.67,12.35
3.7,12.33
3.74,12.29
3.77,12.33
3.81,12.29
3.87,12.29
3.91,12.27
3.94,12.29
3.97,12.25
4.01,12.25
4.04,12.27
4.07,12.35
4.11,12.35
4.14,12.27
4.18,12.29
4.21,12.27
4.24,12.29
4.28,12.21
4.31,12.35
4.35,12.31
4.38,12.33
4.41,12.35
4.48,12.31
4.52,12.33
4.55,12.31
4.58,12.29
4.62,12.31
4.65,12.31
4.69,12.29
4.72,12.29
4.75,12.23
4.79,12.31
4.82,12.17
4.85,12.15
4.89,12.23
4.92,12.29
4.96,12.31
4.99,12.17
5.02,12.25
5.06,12.17
5.09,12.29
5.12,12.23
5.16,12.21
5.19,12.19
5.22,12.19
5.26,12.15
5.29,12.15
5.33,12.17
5.36,12.21
5.39,12.15
5.43,12.09
5.46,12.07
5.5,12.09
5.53,12.09
5.56,12.11
5.6,12.11
5.63,12.19
5.66,12.23
5.73,12.19
5.77,12.19
5.8,12.09
5.83,12.17
5.87,12.15
5.9,12.15
5.94,12.09
5.97,12.07
6,12.07
6.04,12.15
6.07,12.15
6.1,12.05
6.14,12.05
6.17,12.11
6.2,12.15
6.24,12.11
6.27,12.01
6.31,12.01
6.34,12.01
6.37,12.17
6.41,12.03
6.44,12.05
6.48,12.07
6.51,12.09
6.54,11.99
6.58,12.03
6.61,12.07
6.64,12.11
6.68,12.01
6.71,12.05
6.75,12.09
6.78,11.95
6.81,11.93
6.85,12.05
6.88,12.03
6.92,12.03
6.95,11.97
6.99,12.07
7.02,11.95
7.05,11.93
7.09,12.01
7.12,12.03
7.16,12.01
7.19,11.91
7.22,12.03
7.29,11.93
7.33,12.03
7.4,11.91
7.47,11.86
7.5,12.01
7.53,11.95
7.57,11.99
7.6,11.97
7.67,11.97
7.7,11.91
7.74,11.91
7.77,11.8
7.88,11.93
7.91,11.86
7.95,11.95
7.98,11.82
8.02,11.76
8.05,11.78
8.08,11.78
8.12,11.78
8.15,11.76
8.19,11.84
8.22,11.86
8.26,11.74
8.29,11.74
8.32,11.74
8.36,11.76
8.39,11.76
8.42,11.7
8.46,11.72
8.49,11.82
8.52,11.82
8.56,11.78
8.59,11.74
8.62,11.82
8.66,11.72
8.69,11.7
8.72,11.7
8.76,11.72
8.79,11.72
8.82,11.66
8.86,11.68
8.89,11.68
8.96,11.7
8.93,11.78
9,11.74
9.03,11.78
9.06,11.68
9.1,11.62
9.13,11.68
9.16,11.72
9.2,11.74
9.23,11.68
9.26,11.74
9.3,11.68
9.33,11.6
9.37,11.74
9.4,11.72
9.43,11.56
9.47,11.62
9.5,11.58
9.53,11.66
9.57,11.6
9.6,11.68
9.64,11.68
9.67,11.52
9.71,11.54
9.74,11.52
9.77,11.5
9.81,11.48
9.84,11.62
9.87,11.5
9.91,11.62
9.94,11.6
9.97,11.56
10.01,11.56
10.04,11.5
10.08,11.5
10.11,11.56
10.14,11.56
10.18,11.48
10.21,11.56
10.24,11.56
10.28,11.56
10.31,11.52
10.35,11.42
10.38,11.52
10.41,11.52
10.45,11.52
10.48,11.48
10.51,11.46
10.55,11.48
10.58,11.36
10.62,11.36
10.65,11.32
10.68,11.32
10.72,11.34
10.75,11.32
10.78,11.3
10.82,11.38
10.85,11.42
10.88,11.3
10.92,11.38
10.95,11.3
10.98,11.3
11.02,11.36
11.05,11.36
11.08,11.36
11.12,11.26
11.15,11.34
11.19,11.22
11.22,11.32
11.25,11.28
11.29,11.3
11.32,11.22
11.35,11.14
11.39,11.24
11.42,11.26
11.45,11.18
11.49,11.08
11.52,11.18
11.55,11.08
11.59,11.08
11.62,11.06
11.66,11.2
11.69,11.03
11.72,11.01
11.76,10.99
11.79,10.97
11.82,10.95
11.86,11.01
11.89,11.01
11.93,10.89
11.96,10.95
11.99,10.83
12.03,10.79
12.06,10.73
12.09,10.69
12.13,10.73
12.2,10.61
