Time,Voltage
0.27,12.17
0.3,12.21
0.34,12.33
0.37,12.31
0.4,12.31
0.44,12.23
0.47,12.33
0.51,12.35
0.54,12.27
0.57,12.33
0.61,12.27
0.64,12.33
0.67,12.35
0.71,12.35
0.74,12.39
0.77,12.27
0.81,12.33
0.84,12.39
0.87,12.39
0.91,12.29
0.94,12.39
0.97,12.29
1.01,12.29
1.04,12.35
1.08,12.35
1.11,12.35
1.14,12.39
1.18,12.35
1.21,12.35
1.24,12.25
1.28,12.29
1.31,12.29
1.34,12.29
1.38,12.27
1.41,12.27
1.44,12.35
1.48,12.25
1.51,12.31
1.54,12.35
1.58,12.35
1.61,12.29
1.65,12.31
1.68,12.35
1.71,12.33
1.75,12.23
1.78,12.35
1.81,12.33
1.85,12.35
1.88,12.27
1.91,12.27
1.95,12.21
1.98,12.27
2.01,12.31
2.05,12.21
2.08,12.35
2.11,12.23
2.15,12.25
2.18,12.31
2.21,12.31
2.25,12.31
2.28,12.23
2.32,12.21
2.35,12.29
2.38,12.19
2.42,12.27
2.45,12.27
2.48,12.29
2.52,12.29
2.55,12.29
2.58,12.29
2.62,12.29
2.65,12.27
2.68,12.27
2.72,12.21
2.75,12.15
2.78,12.17
2.82,12.27
2.85,12.29
2.89,12.17
2.92,12.27
2.95,12.15
2.99,12.15
3.02,12.19
3.05,12.17
3.09,12.15
3.12,12.11
3.15,12.29
3.19,12.23
3.22,12.25
3.25,12.15
3.29,12.23
3.32,12.23
3.35,12.15
3.39,12.11
3.42,12.15
3.46,12.17
3.49,12.23
3.52,12.23
3.56,12.09
3.59,12.21
3.62,12.15
3.66,12.11
3.69,12.21
3.72,12.23
3.76,12.19
3.79,12.19
3.82,12.07
3.86,12.21
3.89,12.19
3.92,12.07
3.96,12.09
3.99,12.19
4.02,12.17
4.06,12.05
4.09,12.03
4.13,12.15
4.16,12.17
4.19,12.17
4.23,12.17
4.26,12.11
4.29,12.07
4.33,12.15
4.36,12.11
4.39,12.05
4.43,12.15
4.46,12.15
4.49,12.01
4.53,12.05
4.56,12.01
4.59,12.11
4.63,12.09
4.66,12.11
4.69,11.97
4.73,12.01
4.76,12.07
4.8,11.99
4.83,12.07
4.86,12.15
4.9,12.07
4.93,12.07
4.96,12.09
5,11.97
5.03,11.95
5.06,12.07
5.1,11.97
5.13,12.07
5.16,12.03
5.2,11.99
5.23,12.05
5.26,12.05
5.3,12.03
5.33,12.07
5.37,11.95
5.4,12.03
5.43,12.03
5.47,12.03
5.5,11.93
5.53,12.05
5.57,12.03
5.6,11.99
5.63,12.01
5.67,12.01
5.7,12.01
5.73,11.91
5.77,11.99
5.8,11.91
5.83,11.97
5.87,11.95
5.9,11.84
5.93,11.86
5.97,11.97
6,11.95
6.04,11.97
6.07,11.97
6.1,11.95
6.14,11.84
6.17,11.95
6.2,11.97
6.24,11.82
6.27,11.93
6.3,11.78
6.34,11.82
6.37,11.86
6.4,11.8
6.44,11.91
6.47,11.93
6.5,11.78
6.54,11.91
6.57,11.76
6.6,11.91
6.64,11.78
6.67,11.93
6.71,11.78
6.74,11.74
6.77,11.82
6.81,11.86
6.84,11.84
6.87,11.86
6.91,11.84
6.94,11.84
6.97,11.68
7.01,11.84
7.04,11.8
7.07,11.78
7.11,11.78
7.14,11.78
7.17,11.76
7.21,11.68
7.24,11.68
7.28,11.8
7.31,11.76
7.34,11.76
7.38,11.74
7.41,11.74
7.44,11.62
7.48,11.72
7.51,11.7
7.54,11.6
7.58,11.58
7.61,11.66
7.64,11.7
7.68,11.56
7.71,11.56
7.74,11.66
7.78,11.66
7.81,11.54
7.84,11.52
7.88,11.56
7.91,11.54
7.95,11.52
7.98,11.42
8.01,11.42
8.05,11.48
8.08,11.32
8.11,11.28
8.15,11.3
8.18,11.22
8.21,10.95
8.25,10.71
8.28,10.59
