Time,Voltage
0.04,12.82
0.07,12.7
0.1,12.78
0.14,12.76
0.17,12.63
0.2,12.7
0.24,12.7
0.27,12.57
0.3,12.7
0.34,12.67
0.37,12.67
0.4,12.55
0.44,12.67
0.47,12.55
0.51,12.67
0.54,12.47
0.57,12.53
0.61,12.43
0.64,12.51
0.67,12.57
0.71,12.55
0.74,12.51
0.77,12.55
0.81,12.43
0.84,12.41
0.87,12.47
0.91,12.45
0.94,12.55
0.97,12.49
1.01,12.43
1.04,12.43
1.08,12.47
1.11,12.49
1.14,12.35
1.18,12.41
1.21,12.39
1.24,12.41
1.28,12.39
1.31,12.35
1.34,12.35
1.38,12.25
1.41,12.27
1.45,12.33
1.48,12.31
1.51,12.27
1.55,12.27
1.58,12.29
1.61,12.29
1.65,12.23
1.68,12.23
1.71,12.25
1.75,12.27
1.78,12.25
1.81,12.29
1.85,12.27
1.88,12.29
1.91,12.27
1.95,12.23
1.98,12.21
2.01,12.29
2.05,12.21
2.08,12.19
2.12,12.27
2.15,12.17
2.18,12.23
2.22,12.21
2.25,12.15
2.28,12.19
2.32,12.19
2.35,12.23
2.38,12.11
2.42,12.19
2.45,12.23
2.48,12.15
2.52,12.23
2.55,12.19
2.58,12.21
2.62,12.15
2.65,12.21
2.68,12.07
2.72,12.15
2.75,12.21
2.79,12.09
2.82,12.29
2.85,12.27
2.89,12.09
2.92,12.09
2.95,12.11
2.99,12.07
3.02,12.15
3.05,12.09
3.09,12.15
3.12,12.05
3.15,12.05
3.19,12.07
3.22,12.05
3.25,12.05
3.29,12.03
3.32,12.07
3.35,12.01
3.39,11.99
3.42,12.01
3.45,11.97
3.49,12.05
3.52,11.99
3.56,12.05
3.59,12.01
3.62,12.01
3.66,11.97
3.69,11.97
3.72,11.93
3.76,11.93
3.79,11.95
3.82,11.97
3.86,11.95
3.89,11.93
3.92,11.93
3.96,11.97
3.99,12.11
4.02,11.91
4.06,11.99
4.09,11.91
4.12,11.97
4.16,11.99
4.19,11.97
4.23,12.01
4.26,11.84
4.29,12.01
4.33,11.91
4.36,11.91
4.39,11.86
4.43,11.95
4.46,11.93
4.49,11.97
4.53,11.95
4.56,11.97
4.59,11.78
4.63,11.97
4.66,11.91
4.69,11.91
4.73,11.93
4.76,11.72
4.8,11.93
4.83,11.82
4.86,11.78
4.9,11.82
4.93,11.78
4.96,11.7
5,11.72
5.03,11.8
5.06,11.72
5.1,11.74
5.13,11.84
5.16,11.84
5.2,11.82
5.23,11.7
5.27,11.74
5.3,11.62
5.33,11.72
5.37,11.72
5.4,11.76
5.43,11.74
5.47,11.66
5.5,11.7
5.53,11.68
5.57,11.52
5.6,11.68
5.64,11.58
5.67,11.66
5.7,11.58
5.74,11.6
5.77,11.62
5.8,11.7
5.84,11.54
5.87,11.5
5.9,11.54
5.94,11.52
5.97,11.62
6,11.52
6.04,11.48
6.07,11.5
6.1,11.54
6.14,11.56
6.17,11.5
6.21,11.54
6.24,11.36
6.27,11.38
6.31,11.38
6.34,11.36
6.37,11.34
6.41,11.36
6.44,11.3
6.47,11.38
6.51,11.36
6.54,11.42
6.57,11.38
6.61,11.38
6.64,11.36
6.67,11.24
6.71,11.36
6.74,11.34
6.78,11.32
6.81,11.24
6.84,11.32
6.88,11.18
6.91,11.2
6.94,11.22
6.98,11.22
7.01,11.24
7.04,11.2
7.08,11.22
7.11,11.2
7.14,11.12
7.18,11.08
7.21,11.1
7.25,11.06
7.28,11.06
7.31,10.93
7.35,11.06
7.38,11.01
7.41,10.97
7.45,10.81
7.48,10.81
7.51,10.81
7.55,10.81
7.58,10.73
7.61,10.65
7.65,10.59
