Time,Voltage
0.1,12.51
0.14,12.74
0.17,12.67
0.2,12.65
0.24,12.72
0.27,12.74
0.3,12.74
0.34,12.72
0.37,12.76
0.4,12.65
0.44,12.7
0.47,12.7
0.5,12.72
0.54,12.72
0.57,12.67
0.61,12.74
0.64,12.74
0.67,12.7
0.71,12.7
0.74,12.65
0.77,12.72
0.81,12.55
0.84,12.72
0.87,12.74
0.91,12.59
0.94,12.7
0.97,12.57
1.01,12.67
1.04,12.65
1.07,12.72
1.11,12.67
1.14,12.63
1.17,12.57
1.21,12.55
1.24,12.53
1.28,12.49
1.31,12.57
1.34,12.51
1.38,12.53
1.41,12.51
1.44,12.59
1.48,12.45
1.51,12.55
1.54,12.55
1.58,12.53
1.61,12.55
1.64,12.47
1.68,12.57
1.71,12.53
1.74,12.45
1.78,12.55
1.81,12.51
1.84,12.57
1.88,12.41
1.91,12.57
1.95,12.43
1.98,12.41
2.01,12.43
2.05,12.51
2.08,12.43
2.11,12.33
2.15,12.53
2.18,12.53
2.21,12.29
2.25,12.45
2.28,12.35
2.31,12.35
2.35,12.43
2.38,12.47
2.41,12.43
2.45,12.27
2.48,12.31
2.51,12.31
2.55,12.25
2.58,12.27
2.62,12.39
2.65,12.39
2.68,12.31
2.72,12.33
2.75,12.23
2.78,12.31
2.82,12.25
2.85,12.31
2.88,12.27
2.92,12.21
2.95,12.17
2.98,12.31
3.02,12.19
3.05,12.29
3.08,12.21
3.12,12.23
3.15,12.29
3.18,12.21
3.22,12.17
3.25,12.19
3.29,12.23
3.32,12.27
3.35,12.17
3.39,12.19
3.42,12.07
3.45,12.15
3.49,12.03
3.52,12.09
3.55,12.07
3.59,11.99
3.62,12.05
3.65,12.09
3.69,12.01
3.72,11.97
3.76,11.97
3.79,12.15
3.82,11.99
3.86,11.93
3.89,11.93
3.92,11.99
3.96,12.01
3.99,11.95
4.02,11.95
4.06,11.91
4.09,11.93
4.12,11.82
4.16,12.01
4.19,11.97
4.22,11.86
4.26,11.99
4.29,11.93
4.32,11.91
4.36,11.82
4.39,11.8
4.43,11.74
4.46,11.82
4.49,11.76
4.53,11.74
4.56,11.76
4.59,11.76
4.63,11.72
4.66,11.68
4.69,11.78
4.73,11.74
4.76,11.76
4.79,11.74
4.83,11.7
4.86,11.68
4.9,11.72
4.93,11.66
4.96,11.62
5,11.58
5.03,11.54
5.06,11.66
5.1,11.58
5.13,11.54
5.16,11.54
5.2,11.68
5.23,11.52
5.26,11.52
5.3,11.46
5.33,11.44
5.36,11.44
5.4,11.42
5.43,11.44
5.46,11.46
5.5,11.38
5.53,11.42
5.57,11.32
5.6,11.36
5.63,11.3
5.67,11.36
5.7,11.28
5.73,11.24
5.77,11.28
5.8,11.24
5.83,11.14
5.87,11.14
5.9,11.14
5.93,11.06
5.97,11.06
6,10.97
6.03,10.87
6.07,10.87
6.1,10.69
6.14,10.47
