Time,Voltage
0.04,12.7
0.07,12.7
0.1,12.76
0.14,12.78
0.17,12.84
0.2,12.8
0.24,12.78
0.27,12.84
0.3,12.72
0.34,12.67
0.37,12.84
0.4,12.72
0.44,12.82
0.47,12.74
0.5,12.78
0.54,12.74
0.57,12.76
0.61,12.72
0.64,12.67
0.67,12.7
0.71,12.7
0.74,12.74
0.77,12.65
0.81,12.67
0.84,12.63
0.87,12.63
0.91,12.63
0.94,12.67
0.97,12.67
1.01,12.67
1.04,12.72
1.07,12.57
1.11,12.59
1.14,12.57
1.18,12.63
1.21,12.74
1.24,12.59
1.28,12.59
1.31,12.7
1.34,12.65
1.38,12.55
1.41,12.55
1.45,12.57
1.48,12.57
1.51,12.7
1.55,12.55
1.58,12.63
1.61,12.59
1.65,12.57
1.68,12.57
1.71,12.53
1.75,12.65
1.78,12.59
1.82,12.53
1.85,12.63
1.88,12.55
1.92,12.63
1.95,12.51
1.98,12.55
2.02,12.53
2.05,12.51
2.08,12.51
2.12,12.47
2.15,12.49
2.18,12.51
2.22,12.45
2.25,12.49
2.29,12.57
2.32,12.55
2.35,12.55
2.39,12.57
2.42,12.45
2.45,12.55
2.49,12.47
2.52,12.49
2.55,12.47
2.59,12.53
2.62,12.53
2.65,12.49
2.69,12.43
2.72,12.43
2.75,12.43
2.79,12.51
2.82,12.45
2.85,12.39
2.89,12.47
2.92,12.43
2.96,12.45
2.99,12.39
3.02,12.41
3.06,12.39
3.09,12.43
3.12,12.39
3.16,12.45
3.19,12.53
3.22,12.47
3.26,12.49
3.29,12.43
3.32,12.51
3.36,12.49
3.39,12.41
3.42,12.43
3.46,12.31
3.49,12.33
3.52,12.43
3.56,12.39
3.59,12.43
3.63,12.35
3.66,12.39
3.69,12.35
3.73,12.43
3.76,12.31
3.79,12.33
3.83,12.39
3.86,12.33
3.89,12.41
3.93,12.35
3.96,12.39
3.99,12.33
4.03,12.31
4.06,12.27
4.09,12.31
4.13,12.39
4.16,12.35
4.2,12.31
4.23,12.29
4.26,12.33
4.3,12.33
4.33,12.33
4.36,12.31
4.4,12.35
4.43,12.39
4.46,12.27
4.5,12.31
4.53,12.25
4.56,12.33
4.6,12.33
4.63,12.29
4.66,12.29
4.7,12.29
4.73,12.27
4.77,12.25
4.8,12.31
4.83,12.39
4.87,12.29
4.9,12.31
4.93,12.27
4.97,12.31
5,12.27
5.03,12.31
5.07,12.29
5.1,12.23
5.13,12.29
5.17,12.27
5.2,12.25
5.24,12.31
5.27,12.23
5.3,12.25
5.34,12.35
5.37,12.21
5.4,12.25
5.44,12.27
5.47,12.23
5.5,12.21
5.54,12.21
5.57,12.21
5.61,12.23
5.64,12.23
5.67,12.33
5.71,12.27
5.74,12.27
5.77,12.33
5.81,12.31
5.84,12.29
5.95,12.25
6.01,12.19
6.08,12.31
6.15,12.31
6.19,12.17
6.22,12.15
6.26,12.17
6.29,12.17
6.32,12.19
6.36,12.15
6.39,12.15
6.42,12.19
6.46,12.15
6.49,12.15
6.52,12.17
6.56,12.19
6.63,12.21
6.66,12.23
6.73,12.09
6.76,12.11
6.8,12.23
6.9,12.19
6.93,12.11
7.01,12.07
7.04,12.09
7.18,12.17
7.21,12.15
7.28,12.17
7.35,12.09
7.42,12.15
7.49,12.15
7.52,12.09
7.63,12.05
7.66,12.15
7.7,12.07
7.73,12.01
7.76,12.11
7.8,12.15
7.87,12.05
7.9,11.97
7.94,11.97
7.97,12.03
8.01,11.99
8.04,12.05
8.18,11.95
8.57,11.95
8.6,12.03
8.63,11.97
8.67,11.91
8.7,11.99
8.77,12.01
8.8,11.95
8.87,12.01
8.91,11.93
8.94,11.97
8.98,12.01
9.05,11.95
9.08,11.99
9.11,11.91
9.15,11.95
9.18,11.97
9.22,11.86
9.25,11.95
9.28,11.97
9.32,11.93
9.35,11.86
9.39,11.8
9.42,11.86
9.45,11.93
9.49,11.97
9.52,11.91
9.56,11.91
9.59,11.82
9.62,11.93
9.66,11.91
9.69,11.93
9.72,11.82
9.76,11.86
9.79,11.84
9.82,11.82
9.86,11.8
9.89,11.86
9.92,11.8
9.96,11.86
9.99,11.86
10.02,11.74
10.06,11.82
10.09,11.86
10.13,11.82
10.16,11.8
10.19,11.72
10.23,11.72
10.26,11.78
10.29,11.86
10.33,11.76
10.36,11.7
10.39,11.8
10.43,11.86
10.46,11.7
10.49,11.82
10.53,11.72
10.56,11.74
10.59,11.8
10.63,11.78
10.66,11.82
10.7,11.74
10.73,11.68
10.76,11.68
10.8,11.74
10.83,11.7
10.86,11.78
10.9,11.7
10.93,11.74
10.96,11.7
11,11.6
11.03,11.62
11.07,11.7
11.1,11.74
11.13,11.58
11.17,11.6
11.2,11.74
11.23,11.72
11.27,11.6
11.3,11.56
11.33,11.68
11.37,11.66
11.4,11.6
11.44,11.72
11.47,11.58
11.5,11.62
11.54,11.56
11.57,11.6
11.6,11.58
11.64,11.62
11.67,11.6
11.7,11.54
11.74,11.6
11.77,11.58
11.8,11.56
11.84,11.48
11.87,11.58
11.91,11.5
11.94,11.62
11.97,11.58
12.01,11.46
12.04,11.48
12.07,11.6
12.11,11.46
12.14,11.38
12.18,11.5
12.21,11.46
12.24,11.46
12.28,11.56
12.31,11.44
12.34,11.36
12.38,11.36
12.41,11.44
12.44,11.36
12.48,11.42
12.51,11.34
12.55,11.34
12.58,11.34
12.61,11.32
12.65,11.42
12.68,11.46
12.71,11.44
12.75,11.32
12.78,11.36
12.81,11.44
12.85,11.36
12.88,11.36
12.91,11.3
12.95,11.38
12.98,11.26
13.01,11.34
13.05,11.26
13.08,11.34
13.11,11.3
13.15,11.32
13.18,11.22
13.22,11.2
13.25,11.26
13.28,11.24
13.32,11.2
13.35,11.26
13.38,11.28
13.42,11.24
13.45,11.26
13.49,11.24
13.52,11.1
13.59,11.18
13.62,11.12
13.66,11.08
13.69,11.1
13.72,11.14
13.76,11.01
13.79,11.06
13.82,10.97
13.86,11.1
13.89,11.08
13.93,11.06
13.96,10.99
13.99,10.99
14.03,10.93
14.06,10.87
14.09,10.97
14.13,10.93
14.16,10.87
14.2,10.85
14.23,10.79
14.26,10.81
14.3,10.61
14.33,10.59
14.36,10.69
14.4,10.51
